Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6335469108441665,0.6491187570610507,0.6189846481807653,91.8,0.12242917696896352,1.74,908.03,95.49,95.79,908.33
2,0.6435337279767878,0.6601675622951994,0.631036837171577,89.78,-0.22741280123591423,1.8162,896.43,98.08,98.37,896.72
3,0.6651959878408497,0.6752031057940815,0.6509893198466071,82.26,-0.06357097965391244,1.76,859.08,101.84,102.06,859.31
4,0.667455331968523,0.6810756261436338,0.653913982971362,82.84,-0.5288913517313845,1.8221,896.81,102.31,102.54,897.03
5,0.6738025874349214,0.6883644576843093,0.6608290026193478,79.8,0.11651239264756441,1.8561,821.14,104.11,104.3,821.34
6,0.6769018478268038,0.6863236451118251,0.666155999648847,80.38,0.2131986775818993,1.7643,813.52,104.95,105.15,813.73
7,0.674515590467735,0.6828751991822114,0.6652083972060813,77.32,-0.08048657129984349,1.8479,800.65,104.89,105.06,800.83
8,0.6778012548801542,0.6884260370777139,0.6641122891359226,77.16,0.09625590359792113,1.8726,786.38,102.92,103.1,786.55
9,0.6763139284019686,0.6904769940188128,0.6639913034913348,76.42,-0.07694943313254043,1.8447,786.53,103.9,104.06,786.69
10,0.6781854261824434,0.6898481744817506,0.6666580536057954,75.72,0.18479174259118736,1.8353,772.19,100.95,101.1,772.35
11,0.6773691858570282,0.6880101908575724,0.6638166961920959,73.8,-0.17034810533126196,1.8591,771.97,101.25,101.38,772.1
12,0.6778120651279544,0.6908486470217506,0.6702564728187583,73.98,-0.19132175681491692,1.7993,769.85,102.34,102.47,769.98
13,0.6777340115351405,0.6897083355185207,0.6643774323367836,74.98,-0.10045048384927213,1.8074,791.2,103.84,103.99,791.34
14,0.6782327768306134,0.6915636928271965,0.6655547022994355,75.62,-0.2189100068062544,1.7609,780.19,102.28,102.43,780.35
15,0.6777036704464727,0.6871002596465856,0.6689973455869896,75.76,0.08537452854216099,1.8015,786.87,102.13,102.29,787.02
16,0.6784604899861983,0.6881710304463791,0.664655627968259,73.56,0.06728482842445374,1.8292,771.17,101.67,101.8,771.3
17,0.6779641601806198,0.6870995419841877,0.6652011525138012,73.12,-0.07252839108308157,1.8188,763.15,102.31,102.43,763.27
18,0.6795273525606107,0.6909138553149438,0.6703303677705068,73.14,-0.1376712782929341,1.7784,762.5,101.48,101.61,762.63
19,0.68006055887447,0.6893613190373784,0.6696450239208663,71.86,0.37987928626437983,1.7094,762.78,101.1,101.21,762.89
20,0.6803681660526618,0.6926822744782885,0.6710439580489754,72.9,-0.1257388949394226,1.8629,760.7,100.79,100.91,760.82
