Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss
1,0.5829444833165365,0.6071327971045025,0.5647085929666041,44.4,-0.015936185792088508
2,0.5855191151100974,0.6008022122167112,0.5611662033654217,42.95,-0.0780825724825263
3,0.5883666261078149,0.599984995519638,0.5690825958955773,42.55,-0.016386883333325386
4,0.5835974362200813,0.6011963782135972,0.5615513989223961,42.85,0.00984392911195755
5,0.5864703273383051,0.6032825950844773,0.5686505989017966,42.35,0.028781898133456708
6,0.5773246137984973,0.5911217813717372,0.5636897911113745,41.85,-0.13410647534765302
7,0.5799634140054566,0.5959583923177246,0.561520793557549,41.5,-0.05183503732550889
8,0.5810096654435496,0.6000389895522601,0.5614937966538914,43.0,0.03941242285072803
9,0.5783902151129942,0.5964389956226355,0.5616359857606894,42.75,-0.026622835476882756
10,0.580357074284449,0.5958683983044147,0.5653727948707588,42.4,-0.015833145193755626
11,0.5828498924213652,0.60056279951849,0.5634953996369365,41.7,-0.11261434722691774
12,0.5787161043656879,0.5923817934094909,0.5634918061810975,43.5,-0.032453246973454954
