Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6306398922787259,0.6448783084383223,0.6124197584264562,108.51,-0.05732139707966284,1.8396,570.14,55.0,55.63,570.77
2,0.6452507273452034,0.6592345041041064,0.6338792607478502,102.89,-0.41073018667243777,1.8271,578.53,57.68,58.29,579.14
3,0.6544701577718485,0.6662411711536298,0.6411512241362054,98.94,-0.3183002734556794,1.7555,544.61,60.74,61.34,545.21
4,0.6667553986625377,0.6781936925580032,0.6530902006905314,98.06,-0.3937673920240158,1.8413,546.78,63.38,63.97,547.37
5,0.6702776914989809,0.6834436097721106,0.6521053326652259,96.75,-0.21313383525762802,1.8551,540.01,64.46,65.04,540.6
6,0.6700824805224417,0.680791870511659,0.6535666292708137,95.05,-0.00018697310435144524,1.8794,529.48,64.59,65.17,530.06
7,0.6691808826496691,0.6849879873128706,0.6563186995959497,95.09,-0.2943958849891236,1.8558,515.4,63.82,64.4,515.98
8,0.6700920208856196,0.6835839674751623,0.6604612755293278,94.09,-0.012796407075304734,1.8305,530.41,64.7,65.28,530.98
9,0.6698233315143567,0.6889040464122027,0.652008093759876,96.37,-0.06925444917655305,1.8421,540.43,64.09,64.68,541.01
10,0.6697897598599846,0.6811236552943336,0.6589599745796196,95.33,-0.0706827673864992,1.8524,534.75,64.19,64.77,535.33
11,0.6696848238894023,0.6859051532615582,0.6561143405248947,96.12,-0.08961634614910835,1.797,542.9,63.91,64.49,543.49
12,0.6703470496198475,0.683447922688622,0.658109296166064,94.7,-0.06912515028134773,1.8735,540.79,64.53,65.11,541.36
13,0.6696953676299099,0.6823405664986849,0.6589452020293844,94.61,0.029591202784917857,1.8044,544.18,64.51,65.09,544.75
14,0.6701277153743908,0.6820291099418451,0.6554452506233094,94.11,-0.004704277080140616,1.8323,533.44,63.74,64.31,534.01
15,0.6698677181471533,0.6816080808285853,0.6590732349985374,94.86,-0.31928869003528043,1.7873,554.14,64.15,64.73,554.72
16,0.666341306277288,0.6773097709056416,0.6555092671963799,96.07,0.13975260328305394,1.8624,622.14,62.13,62.71,622.72
17,0.6667187675269642,0.6818862995583845,0.653702041413136,95.94,-0.05936791551991915,1.8299,602.98,61.66,62.24,603.56
18,0.6664471605710444,0.6747048165068834,0.6583764488041294,95.78,-0.13490465587299122,1.827,614.96,61.15,61.74,615.55
19,0.6677558989326003,0.6781062848467101,0.6524617427027662,96.14,-0.08906059234570234,1.756,580.7,62.39,62.98,581.28
20,0.6680605111346228,0.6798340926760232,0.6574137515684372,96.25,0.04933746198290273,1.8365,566.08,64.1,64.69,566.67
