Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.622306464387221,0.6413105327981525,0.6059094426954156,87.9,-0.8127949789373411,1.8069,847.35,90.91,91.28,847.71
2,0.6556911149073411,0.669257656288156,0.6335724272865141,81.72,-0.4655447670203798,1.9232,796.96,98.21,98.52,797.27
3,0.6660514278919498,0.6796784980151924,0.652159260761748,78.46,-0.27581072342582047,1.8786,746.54,98.57,98.86,746.83
4,0.6676433105892896,0.6765219060720635,0.6496044195088528,77.02,-0.38053589104674757,1.7752,751.67,98.45,98.72,751.95
5,0.6644561016240281,0.6765018401718375,0.6526715774870663,76.4,-0.2690473907859996,1.8289,783.39,96.5,96.77,783.66
6,0.665015413231026,0.6782635865640878,0.652255367048592,72.98,-0.03765025151272615,1.8339,796.63,94.12,94.35,796.86
7,0.6671006658337275,0.678427386637336,0.6551428446907611,74.86,-0.07564511685632169,1.7594,766.56,95.85,96.1,766.81
8,0.6664242183074589,0.681151076972178,0.6516828914081382,77.02,-0.12485785107128322,1.821,747.81,98.6,98.87,748.08
9,0.6694522216943954,0.6820494855709633,0.6551253017959824,74.6,-0.16042382617791492,1.8241,730.09,96.23,96.48,730.34
10,0.6689153402639989,0.6809262484345985,0.6535541317751286,74.22,-0.14337865095585584,1.7243,723.91,96.21,96.45,724.16
11,0.669963542206918,0.6818580901724794,0.6564282034281533,73.4,-0.1543861155708631,1.7995,728.69,96.16,96.39,728.93
12,0.6677496018763242,0.6809906018221651,0.6535507709332424,72.24,-0.3937283895909786,1.8305,728.22,95.5,95.73,728.44
13,0.6675948238154759,0.6821280479073712,0.6573742737903908,70.58,0.08612585041139807,1.7884,746.72,93.24,93.45,746.92
14,0.6668672118202065,0.6797253048107895,0.6556033432274955,70.94,0.15038718891640504,1.8068,756.98,93.91,94.13,757.19
15,0.6675200245273879,0.6799868835153884,0.6550993920528143,70.54,-0.05223413221538067,1.8136,742.11,93.65,93.86,742.31
16,0.6685473162752399,0.6834426583923724,0.6515516804919007,70.24,0.06920755282044411,1.7389,746.27,93.36,93.57,746.47
17,0.6695688395761714,0.6859891667393085,0.6560061745494605,69.8,0.2255818615357081,1.8265,734.38,92.86,93.05,734.58
18,0.6687528731001042,0.6808284768120705,0.6524559559787593,69.98,-0.49159711599349976,1.7367,735.55,93.13,93.33,735.75
19,0.6676860679044012,0.6791762099333709,0.6540981798998222,69.72,-0.15043687572081885,1.7416,739.65,93.6,93.8,739.85
20,0.667845393544167,0.6808109197573772,0.6537597229793409,71.82,0.23045906232049068,1.8775,749.89,93.01,93.23,750.11
