Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6609102797662022,0.6737624519624991,0.645395601114843,124.7,-0.011500684022903442,1.8918,222.79,15.18,16.08,223.7
2,0.662274873884671,0.6778930665796867,0.6479461274062486,123.1,-0.11260423541069031,1.7787,214.42,15.2,16.1,215.33
3,0.6681216816838823,0.685171408844531,0.6531342797320305,119.14,-0.3379537984728813,1.7763,202.35,14.76,15.66,203.25
4,0.6754898489291012,0.6891776034750001,0.6661357514472653,109.86,-0.5248059444129467,1.8323,177.72,14.64,15.53,178.62
5,0.6861435945971486,0.7023657008988287,0.6691217428511722,101.8,-0.38735815279540564,1.8241,156.25,14.39,15.28,157.13
6,0.6864820067379377,0.699939592600782,0.6736380433664064,102.92,-0.1595500083196731,1.7983,155.52,14.21,15.09,156.4
7,0.6900584695637346,0.705861793916016,0.6774700541730463,99.64,-0.34338015653193,1.8137,149.76,13.88,14.76,150.64
8,0.6912269863044612,0.7044558934007819,0.6808292941464853,98.26,0.1654032127931714,1.8391,147.67,13.98,14.86,148.55
9,0.6878587947349923,0.7034356807769535,0.6748075534816408,101.48,0.07337958755947295,1.8417,154.51,13.91,14.79,155.39
10,0.6899091712465081,0.7043065933464848,0.6797468681121089,98.2,-0.4624117098748684,1.8483,148.21,13.67,14.55,149.09
11,0.6940320709668052,0.707528974011329,0.6836784216855476,92.76,0.04268431938008258,1.824,138.56,13.48,14.35,139.43
12,0.6951729656925005,0.7082505848179693,0.6817002098484386,92.6,-0.15709431116518222,1.8118,140.49,13.62,14.49,141.36
13,0.6936730054852502,0.7082505851027351,0.6852336168445317,94.2,-0.11500467889403042,1.7597,139.98,13.45,14.32,140.85
14,0.693805882878141,0.705824472248438,0.6838277208855474,93.72,-0.10452693308654584,1.7448,142.37,13.6,14.47,143.24
15,0.693825540332766,0.7274230995304708,0.6784778317464851,93.6,-0.1411547064781189,1.8554,139.08,13.38,14.25,139.96
16,0.6957534912895551,0.708250580261719,0.6828448279359379,93.0,nan,nan,141.58,13.54,14.41,142.45
17,0.6949955495130474,0.7036720743093753,0.6819739202074222,92.92,nan,nan,139.18,13.37,14.24,140.06
18,0.6950689540133206,0.7065460804921877,0.6866395196378909,94.32,nan,nan,140.97,13.34,14.21,141.85
19,0.6945600927954381,0.7051401848179694,0.6832554072855478,92.64,nan,nan,142.34,13.38,14.25,143.21
20,0.6931935069787272,0.703622306770313,0.6824218200855476,91.0,nan,nan,140.86,13.54,14.41,141.73
21,0.6967187110105317,0.7178803815093756,0.6850843224855474,93.4,-0.18337205052375793,1.8614,138.35,13.41,14.29,139.22
22,0.6960184973410785,0.7104900696855474,0.6852709433531253,92.72,-0.032727164069288654,1.8633,140.41,13.34,14.21,141.29
23,0.6953068375989615,0.7145833580789068,0.6870500964246101,92.28,-0.04667203363619352,1.8449,140.67,13.42,14.29,141.54
24,0.6943801881365163,0.7060110951093755,0.6820859000179695,91.18,-0.03636924844039114,1.8172,140.71,13.45,14.32,141.57
25,0.6973689095732819,0.7377371879238303,0.6851962903359378,89.6,0.14552251415120232,1.883,137.81,13.47,14.34,138.68
26,0.6948651605825396,0.7058617959093755,0.6826955307292969,93.34,nan,nan,141.0,13.36,14.23,141.87
27,0.6941383228003365,0.7065834047226563,0.6838277183226568,93.12,nan,nan,141.02,13.56,14.43,141.89
28,0.6951329042473832,0.7061355062683594,0.683678421116016,93.68,nan,nan,139.78,13.44,14.31,140.65
29,0.6937533790869378,0.7049908853332038,0.6731030562750001,93.04,nan,nan,141.17,13.55,14.42,142.04
30,0.6954135865326566,0.7051526198683593,0.6798464103093756,92.64,nan,nan,138.45,13.42,14.29,139.32
31,0.6956693867968601,0.7048415835703129,0.6837903995027353,91.16,nan,nan,142.47,13.6,14.47,143.34
32,0.6945436696613209,0.7065460807769535,0.6829568086007819,92.62,nan,nan,141.93,13.55,14.42,142.8
33,0.694561087417219,0.7047296083160157,0.6845120080312508,93.94,nan,nan,142.04,13.4,14.28,142.92
34,0.6965801110056098,0.7234542242894543,0.6843627088312505,94.08,nan,nan,141.43,13.43,14.3,142.3
35,0.6947419893462426,0.709270794878907,0.6808292915835944,91.66,nan,nan,140.35,13.54,14.41,141.22
36,0.6944493630053675,0.7096564807769533,0.6843627037054688,91.26,nan,nan,140.49,13.43,14.3,141.36
37,0.6949069645521803,0.7076782709332039,0.6809039420378911,92.88,nan,nan,143.13,13.53,14.41,144.0
38,0.695147336298352,0.70995508202461,0.6842382956789076,92.84,nan,nan,140.34,13.5,14.37,141.22
39,0.6958856209733442,0.7299611879238305,0.6846986291835944,92.82,0.036290781866562996,1.8716,140.6,13.49,14.36,141.47
40,0.693801155417555,0.7099924056855472,0.6803067440988283,92.78,nan,nan,140.23,13.36,14.23,141.1
41,0.694450109250774,0.7043065936312505,0.6821605439226566,92.1,nan,nan,140.09,13.48,14.35,140.96
42,0.6952416442300552,0.7056005211703128,0.6839770178074225,93.06,nan,nan,141.43,13.51,14.38,142.3
43,0.6949731542856332,0.7062848054683591,0.6828448302140628,93.94,nan,nan,141.55,13.48,14.36,142.42
44,0.695118472059727,0.7028758070683592,0.6843627091160163,93.22,nan,nan,141.72,13.43,14.3,142.59
45,0.6957380635517818,0.7048415838550786,0.6836784194074221,92.0,nan,nan,141.58,13.39,14.26,142.45
46,0.6951251907059769,0.7092459091160156,0.6845120108789069,93.94,nan,nan,141.46,13.56,14.43,142.33
47,0.6961008610577116,0.7330715879238304,0.683678419692188,91.34,0.07153277804977015,1.8644,139.88,13.5,14.37,140.75
48,0.6949788773532894,0.7046549675437509,0.686253826905469,91.68,nan,nan,141.11,13.43,14.3,141.98
49,0.693626475296602,0.7047296060378906,0.6828448327769536,91.88,nan,nan,141.08,13.68,14.55,141.95
50,0.6946593760230472,0.7110623835703127,0.6787515446683595,95.4,nan,nan,141.77,13.57,14.44,142.65
