Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6230118796795708,0.6393655927630287,0.6080808585957502,97.16,0.3036635200946759,1.8552,521.98,50.2,50.87,522.65
2,0.6274694891620718,0.6415673444097325,0.6087836623367011,95.06,0.05245882684462949,1.8451,510.3,50.41,51.07,510.96
3,0.6473775925931732,0.6674721076401853,0.6292089375361538,88.41,-0.3324520947677749,1.8678,468.33,51.66,52.3,468.97
4,0.6645057680370765,0.681727490189149,0.6461200897083353,79.55,-0.5219419880304486,1.8636,418.0,52.44,53.03,418.6
5,0.671691617011996,0.6830771484004297,0.6609539286354906,76.49,-0.21933423703716648,1.8441,399.76,52.58,53.16,400.34
6,0.67148611915851,0.688376274905934,0.659150227893501,75.86,-0.06014069424321254,1.8577,396.33,52.57,53.15,396.91
7,0.6721775554243348,0.6883016362834387,0.6602697650223608,75.84,-0.018479424249380826,1.8978,394.9,52.22,52.79,395.48
8,0.6712798137398264,0.6846507174122107,0.6571350530500212,74.67,-0.2325185919801394,1.8477,394.94,52.41,52.98,395.51
9,0.6730706321716547,0.6853099902843496,0.659224864803275,74.43,-0.13147607321540514,1.7856,392.93,52.3,52.87,393.5
10,0.6733288089767189,0.6917099977291259,0.6587335199383897,74.8,0.1216815859079361,1.8065,393.51,52.38,52.95,394.08
11,0.6725778506862332,0.6858822031738474,0.6569484808177614,75.84,-0.13051542868056604,1.8399,398.48,52.14,52.72,399.05
12,0.6723382697486783,0.6883451664182272,0.6583665543351407,75.08,-0.1381660604228576,1.8382,389.93,51.9,52.48,390.5
13,0.6721086410740162,0.6860874472348419,0.659703772110565,74.34,-0.13330326974391937,1.8424,396.68,52.76,53.33,397.25
14,0.6732894997025441,0.6843459538436624,0.6623284541612942,73.74,-0.13786467537283897,1.7888,392.75,52.18,52.75,393.32
15,0.6733910042940827,0.6871696695110905,0.6596415850299224,73.37,0.028948897560094965,1.8696,394.59,52.06,52.62,395.15
16,0.673701800258612,0.6965053289778628,0.658938757144051,73.0,0.07236973221959739,1.8633,393.57,52.04,52.6,394.14
17,0.6731624942392896,0.684302420085467,0.6582546035647987,71.6,nan,nan,384.98,51.84,52.39,385.53
18,0.6739510191076681,0.6835498351049858,0.6564198100120624,72.6,nan,nan,382.79,50.99,51.55,383.35
19,0.6727061601301678,0.6885504106349236,0.6597783967710459,71.63,-0.0013244160418880396,1.8297,380.28,51.39,51.94,380.84
20,0.6732960295358569,0.6841780174173826,0.6562332233529063,70.99,0.07492882514308238,1.7702,381.45,51.52,52.06,382.0
