Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.624335980954307,0.6458999757085531,0.6118333171889901,98.22,0.4120300874114037,1.7992,332.95,30.84,31.64,333.75
2,0.6297826476005377,0.6455333105813893,0.6193666441599536,95.72,0.3138744208961725,1.7572,319.97,30.55,31.34,320.76
3,0.6335193137176156,0.6414333105813893,0.6228333140009933,95.14,-0.4219951547682285,1.6491,315.88,30.97,31.76,316.67
4,0.6392399807807384,0.6509333094914761,0.6282999873570038,92.96,0.37295480895983546,1.8741,305.76,30.73,31.51,306.54
5,0.640353979738781,0.654166650644939,0.6251999866076883,91.42,-0.0557637612024943,1.8451,299.66,31.04,31.83,300.44
6,0.6443606466760187,0.6638333141917276,0.6242666534787138,90.72,0.5818323683407571,1.7562,296.92,31.01,31.79,297.7
7,0.6525279805199766,0.6761333160854527,0.6387999847684598,87.42,-0.24552222134338486,1.8684,281.57,31.51,32.28,282.34
8,0.6559959792815624,0.6674999744824005,0.6431999760627756,84.42,-0.2855673239511602,1.772,271.62,31.13,31.9,272.38
9,0.6614313140323282,0.6811999757085535,0.6500999804496772,83.2,0.4120762462125105,1.867,265.79,31.62,32.38,266.55
10,0.6611506445790254,0.6798333147911804,0.65039997399194,83.08,0.06928810784045387,1.7977,271.26,31.66,32.42,272.02
11,0.6618393123405102,0.6725999841826307,0.651699982357026,84.32,-0.10446798845249064,1.8514,271.8,31.65,32.41,272.56
12,0.6638046471054447,0.6753999906131207,0.646666640086402,82.04,-0.04160309823996881,1.8944,266.56,31.67,32.43,267.32
13,0.6629093123230716,0.6795333010718947,0.6523666481381382,82.94,0.11010296774261139,1.7801,269.05,31.97,32.73,269.81
14,0.6647433121947343,0.6791666470346006,0.6549999782834744,81.92,0.3215954452753067,1.7788,261.81,31.51,32.26,262.57
15,0.6650933121274321,0.6845666552634471,0.6541999805586685,80.9,-0.6412095760597902,1.7915,260.48,31.74,32.49,261.23
16,0.6649639801319676,0.6787333197230391,0.6502999827929913,79.94,-0.08387525053694844,1.8394,251.86,31.65,32.4,252.61
17,0.6650299802365991,0.676633318742117,0.6479666509446651,80.26,-0.40629907220136374,1.8549,250.97,31.55,32.31,251.73
18,0.6665899793747502,0.6786666544868838,0.6479999859537405,79.76,-0.19385727774351835,1.7799,251.36,31.69,32.44,252.11
19,0.6649446450765708,0.6752333209491919,0.6546999748229988,80.42,0.0503194578923285,1.8657,249.68,31.17,31.92,250.43
20,0.663678646271661,0.6731333172843574,0.6531666488465814,80.62,-0.22579790366923108,1.8155,251.72,31.34,32.09,252.47
