Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6768694741957364,0.7150415951597295,0.6412457039962857,196.0,-0.5358446011176476,1.7828,323.91,10.21,12.58,326.28
2,0.72213980502498,0.7473383562019432,0.6953980826062294,194.32,-0.5989512644708157,1.7524,204.71,9.24,10.54,206.01
3,0.6791116653752445,0.7199082285706978,0.6262918542666166,196.0,nan,nan,334.55,9.95,12.35,336.95
4,0.6845552190618076,0.7248633478290123,0.656022575702372,196.0,nan,nan,329.43,10.17,12.36,331.62
5,0.683266887706557,0.7150415897485287,0.646200824836823,196.0,nan,nan,335.12,10.07,12.32,337.36
