Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6485103823437913,0.6651319020153246,0.6290241490900127,114.12,-0.20036039720086948,1.8283,213.11,15.52,16.42,214.01
2,0.6636169701493231,0.6808423600581408,0.6480743775467014,104.04,0.48053003989514853,1.8451,174.15,14.96,15.84,175.04
3,0.6684139588685827,0.6870037952871126,0.6541800115372527,99.78,-0.03669815585017204,1.8169,169.32,15.1,15.98,170.2
4,0.6790927653751692,0.6951818401107914,0.6625493557799117,92.58,0.3860108011255139,1.8105,144.16,14.74,15.61,145.03
5,0.6770382102767735,0.6895066221292007,0.6640000426048457,93.32,-0.33005293095974547,1.8395,144.16,14.83,15.71,145.03
6,0.6811666096213345,0.6935159456148954,0.6657217356938216,89.84,-0.31534601147804,1.8258,142.25,14.4,15.26,143.12
7,0.6824282281617887,0.6950224217856206,0.6690854143596765,88.9,0.0047505737747997046,1.796,139.49,14.55,15.42,140.36
8,0.6818498666149984,0.6944564957148733,0.6697310499436301,89.28,-0.14762882681356537,1.857,144.21,14.43,15.3,145.07
9,0.6834775050815419,0.6970390340370699,0.670376684193512,88.96,-0.22773724463250902,1.8123,151.0,14.46,15.32,151.87
10,0.6840121866587076,0.6973897484688445,0.6682245711047603,86.92,0.1454425329963366,1.819,140.1,14.24,15.1,140.96
11,0.6846914583569819,0.6953173376357171,0.674896133167167,85.7,-0.2801672302405624,1.7923,141.82,14.19,15.05,142.68
12,0.6849532194700619,0.69545284704187,0.6758924838385295,84.0,-0.0028805757927543975,1.7828,144.35,14.26,15.12,145.21
13,0.6830102565330478,0.7005382201193707,0.6716440431072204,85.46,0.006439162746948355,1.8762,151.78,13.66,14.52,152.64
14,0.6848547010145718,0.6970151224727112,0.6711578258598396,84.12,-0.22115309122535917,1.8405,148.3,13.65,14.51,149.15
15,0.6840716496701366,0.6990317353683929,0.6730947305991908,85.48,0.183698243358069,1.7879,151.65,13.51,14.37,152.51
16,0.6855838707861085,0.6980911833015125,0.6734454476763055,83.38,0.1474404683446183,1.7467,148.12,13.66,14.52,148.98
17,0.683591806710191,0.6948072114693178,0.6729592304289244,86.5,-0.32669622885684174,1.7358,154.56,13.79,14.66,155.42
18,0.6786258363607487,0.6947275046242559,0.6643507570366197,89.8,0.03654782230862313,1.9056,180.28,13.4,14.27,181.15
19,0.6806706666145469,0.6916587424641325,0.6711578285051799,88.24,0.19674280078874695,1.838,172.1,13.36,14.23,172.96
20,0.6790090717011042,0.6933007280410102,0.6646217652903689,86.82,-0.15120216495253974,1.809,170.62,13.58,14.44,171.48
