Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6321066364488154,0.6463999681745265,0.6207999694824224,108.9,-0.132970857833113,138.83,10.36,11.29,139.76
2,0.6436266357076743,0.6613333007449202,0.6271999706813275,100.3,0.42629020288586617,112.36,10.26,11.18,113.28
3,0.6497066353589019,0.6613333015078597,0.6399999692644397,103.85,-0.3342716507613659,116.47,10.2,11.12,117.39
4,0.6461866360727953,0.6655999694824227,0.6335999711172926,98.7,-0.0788631181825291,122.54,10.28,11.2,123.46
5,0.6503466356695273,0.6655999679565435,0.6399999692644397,100.3,0.13677360070869327,113.28,10.11,11.03,114.2
6,0.6506666354242968,0.6591999698093968,0.6399999685015005,100.45,0.17915992749234042,111.85,10.13,11.05,112.77
7,0.6510933017639895,0.6634666347322019,0.6421333017258426,99.95,-0.16820601125558218,117.45,10.39,11.31,118.37
8,0.6517333020364677,0.6634666354951412,0.6399999685015004,101.65,-0.052286937832832336,120.35,10.09,11.01,121.27
9,0.6537599689429154,0.6655999687194831,0.6442666349501843,99.45,0.03835062185923258,115.72,10.16,11.08,116.64
10,0.6547199684742526,0.6741333000909723,0.6463999681745264,99.2,0.06076070278262099,114.94,10.26,11.18,115.86
11,0.6527999685341979,0.6591999690464574,0.6463999681745265,100.75,nan,116.05,10.37,11.3,116.97
12,0.651946635282608,0.6570666358221151,0.6378666360400979,106.3,nan,119.66,10.41,11.34,120.59
13,0.6523733018893295,0.6613333015078596,0.642133300962903,101.6,nan,120.53,10.37,11.29,121.45
14,0.6526933019111277,0.6591999690464572,0.6442666357131239,101.05,nan,115.58,10.29,11.21,116.5
15,0.6530133017803381,0.6677333004179462,0.6442666357131238,100.85,0.1408521579578519,119.69,10.31,11.23,120.61
16,0.6527999690301084,0.6613333030337386,0.6463999697004051,100.05,0.15919401993354163,119.73,10.25,11.17,120.65
17,0.6524799685123995,0.6634666354951412,0.63999996926444,102.35,0.04918894859460684,116.89,10.24,11.16,117.81
18,0.6524799683979586,0.6677333011808858,0.6399999685015004,100.25,-0.025005578994750977,115.98,10.37,11.29,116.9
19,0.6535466352771586,0.6655999671936041,0.6442666357131238,101.45,0.041074041180157415,119.54,10.45,11.37,120.46
20,0.6517333021509087,0.6613333007449205,0.6399999685015005,99.2,0.02011832905312379,117.53,10.22,11.14,118.45
