Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6484772600873753,0.6739734171370092,0.6037874790284822,196.0,-0.6136134296464615,1.8436,406.21,8.16,12.22,410.27
2,0.650698291666885,0.6873046659702482,0.6082312281534112,196.0,0.2517956383526325,1.8892,437.53,7.63,12.03,441.93
3,0.6921188214201119,0.7166249767452533,0.6535406051952437,196.0,0.232454588302435,1.8936,302.74,7.47,10.38,305.64
4,0.6942501329353056,0.723726539562089,0.6650859151203233,196.0,0.232230900762937,1.8904,285.2,7.41,10.19,287.97
5,0.7008791952656227,0.7237265378370938,0.6668718540284834,196.0,-0.16428743558338818,1.8655,289.79,7.36,10.08,292.51
6,0.7052323825033026,0.7326140372537133,0.6739734154120142,196.0,-0.0942466385805836,1.8507,261.31,7.44,9.85,263.72
7,0.7067232890426794,0.7281702892703993,0.6863906015541472,196.0,0.0808976175597845,1.8832,255.38,7.34,9.71,257.75
8,0.7033826017491762,0.7210687250202578,0.6784171625202577,196.0,-0.5023534326599195,1.8515,298.09,7.16,9.81,300.74
9,0.6614968854050172,0.6899624787870854,0.6402093543453197,196.0,nan,nan,551.46,5.81,11.46,557.11
10,0.6621372908691634,0.6970640410205411,0.6375515389284168,196.0,nan,nan,552.89,5.9,11.53,558.51
11,0.6649090095060077,0.6899624767703995,0.6331077918201737,196.0,nan,nan,552.78,5.89,11.4,558.29
12,0.6623690411368142,0.689962480512081,0.633107793253479,196.0,nan,nan,552.8,6.0,11.51,558.31
13,0.662884853433637,0.6899624784953948,0.6446531020369436,196.0,nan,nan,562.3,6.02,11.59,567.86
14,0.6644306035624835,0.6855187270620895,0.6242202906785584,196.0,nan,nan,568.95,5.96,11.67,574.66
15,0.664216291474672,0.6855187290787756,0.6375515395117975,196.0,nan,nan,555.69,5.86,11.4,561.22
16,0.6637719160490057,0.6810749776454701,0.6419952909451029,196.0,nan,nan,553.01,5.9,11.45,558.56
17,0.6603431970928105,0.6855187270620896,0.6419952889284166,196.0,nan,nan,549.49,6.01,11.5,554.99
18,0.663006916276524,0.6855187308037711,0.6402093540536294,196.0,nan,nan,545.15,5.87,11.38,550.65
19,0.6666673849405257,0.694406228495395,0.6402093520369435,196.0,nan,nan,552.15,5.78,11.4,557.77
20,0.6619603847026471,0.6899624825287668,0.6375515415284833,196.0,nan,nan,553.25,5.88,11.44,558.81
