Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6266168948366414,0.6365024953748,0.6181604843444835,81.8,-0.2946702763438225,782.59,89.03,89.34,782.91
2,0.6627525288343348,0.6692498987228406,0.6531389974218617,76.8,-0.07837542196114858,754.63,99.36,99.63,754.9
3,0.6639592486529957,0.6772419076932203,0.658588495603324,74.4,-0.04499739607175191,714.85,98.99,99.24,715.1
4,0.6624449067725957,0.6741269979593765,0.6530615991367589,76.2,-0.11505100006858508,750.29,98.12,98.38,750.55
5,0.6664746561398088,0.6746804907206313,0.6519681080363284,76.6,-0.16390890249361595,765.15,102.76,103.03,765.42
6,0.6657219852879608,0.6791544062094227,0.6464763015269289,76.3,-0.064831988265117,770.35,99.16,99.43,770.61
7,0.6640772406457268,0.6725366997540959,0.6502608049708856,73.0,-0.11555308550596237,740.13,97.72,97.95,740.36
8,0.665561970089351,0.6738255004956738,0.6616088956393733,72.2,-0.058671570693453155,742.32,99.23,99.45,742.54
9,0.6682962585319102,0.6801138009057295,0.6566940021822464,73.0,-0.10733620921770731,696.35,94.99,95.22,696.58
10,0.6703006468846691,0.6766640936972392,0.6617943031845348,69.6,0.0057962816208601,693.08,97.75,97.95,693.28
