Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6440405757855262,0.6576959671963842,0.6275431006433334,111.32,-0.02661965423160129,1.839,567.4,47.9,48.58,568.08
2,0.6842980675224818,0.6993859580154322,0.6706857856779814,88.83,-0.21290914341807365,1.8112,440.82,51.7,52.29,441.42
3,0.6887381284575231,0.6999434386186665,0.6767071395228871,83.12,-0.0067348617947462835,1.8338,423.41,50.7,51.27,423.98
4,0.6905174303253955,0.7032979783963974,0.6776050008864728,82.4,-0.18213891858855882,1.8528,419.44,49.88,50.45,420.0
5,0.6896646220333722,0.7047756244477494,0.6791287316220558,80.82,-0.0907353552756831,1.8257,426.67,49.81,50.36,427.22
6,0.6890343554085245,0.701139723808785,0.6744585701780829,80.21,-0.062384245451539755,1.8175,423.05,49.03,49.58,423.6
7,0.6878137297132261,0.7000556835946754,0.6771350396889554,81.07,0.02865344483871013,1.8863,434.43,49.28,49.83,434.99
8,0.6867609372079965,0.6992813153496104,0.6738859297607585,81.69,0.003934993323954669,1.8527,443.79,49.11,49.67,444.35
9,0.6874041929803704,0.6970488597249634,0.6744221578582316,82.04,0.04129362698983063,1.8113,445.36,49.25,49.81,445.93
10,0.6878140240534236,0.7019140099259666,0.675976021875063,82.21,-0.04531066334157279,1.8611,437.67,48.28,48.84,438.23
11,0.6878948648418859,0.6996028878283747,0.6747112970410681,82.14,0.14894692283688168,1.8229,440.55,49.75,50.32,441.11
12,0.6885480192738623,0.6987434184924245,0.6763652908498484,82.28,-0.1141093432000189,1.8733,433.21,49.98,50.54,433.78
13,0.6880281513321722,0.7021470697341309,0.6765517936952173,83.58,0.04904861572910758,1.831,434.23,50.35,50.92,434.8
14,0.6889660562344665,0.701314659318072,0.6781157448598716,82.17,-0.11978464596199268,1.8579,426.9,50.64,51.2,427.46
15,0.6898339734115928,0.698623520819115,0.6788333027418063,80.24,0.14453168225008994,1.8193,418.12,49.78,50.33,418.67
16,0.690394407451048,0.7048687159358926,0.6776743179968026,80.91,-0.03692252936801224,1.8143,419.72,50.4,50.96,420.27
17,0.6903908048340786,0.7029287545947565,0.6784628501101875,79.35,-0.07493985327892005,1.8542,412.52,49.96,50.51,413.06
18,0.6906742107695295,0.7060932671017156,0.674220796830417,79.83,0.07561600091867149,1.8191,418.26,49.1,49.64,418.81
19,0.6903306505807915,0.7028326045887194,0.6779044056484516,79.6,-0.17452913895249367,1.8196,424.54,48.52,49.07,425.08
20,0.690508815869204,0.7001196768201262,0.6812956183809414,79.11,-0.08470542577560991,1.8391,413.79,49.34,49.88,414.33
