Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6353080986851652,0.646503436516527,0.6226533418520797,93.04,0.7053272759443835,1.8221,917.27,94.46,94.77,917.58
2,0.637316676556836,0.6470830072555172,0.6237030817730278,90.98,0.7778702039075526,1.7856,915.69,96.43,96.72,915.99
3,0.6434456907648252,0.653336592522332,0.6302037091194272,90.52,0.6031728664206134,1.7719,898.94,98.42,98.71,899.24
4,0.6526586193952074,0.6675266701202839,0.6418349869333289,89.8,0.03019330795440409,1.8259,892.43,100.83,101.12,892.72
5,0.661260724273694,0.671208405450341,0.6500395508481726,87.2,-0.17475015338924196,1.8202,883.49,103.79,104.06,883.75
6,0.6659156274395699,0.6817877713897714,0.6523129183966991,84.7,0.06387427766971729,1.8247,867.38,104.36,104.61,867.63
7,0.6639687296251742,0.6764520705142905,0.6532685009836913,84.76,0.006990730981616413,1.7788,870.67,104.97,105.21,870.92
8,0.6648496633317232,0.6778698523082455,0.6451602836157793,85.94,-0.5441232435405254,1.7962,865.84,104.04,104.29,866.1
9,0.6745113862838504,0.6835742974095792,0.6619975669933873,82.06,-0.0714530268793597,1.8003,818.97,105.86,106.08,819.19
10,0.6768058376243964,0.687716057358663,0.6639601461738494,81.76,-0.16185653768479824,1.8307,799.06,105.57,105.79,799.28
11,0.6754173734086782,0.6891461556338359,0.6649178878620098,82.34,-0.39519497620708804,1.7332,808.09,105.52,105.74,808.31
12,0.6762879482426324,0.6843313695153918,0.6643593228448698,81.1,-0.2660491236430757,1.7541,817.61,106.57,106.78,817.82
13,0.6765607959079506,0.6883086676049239,0.6622830176444181,80.84,-0.17551203561015427,1.9333,811.04,105.62,105.83,811.25
14,0.677510960499158,0.692641685671809,0.6636435489829051,80.08,0.06554935383610427,1.8249,803.18,104.68,104.88,803.38
15,0.677254688797107,0.6894873718959156,0.6580405513991195,79.58,-0.12045862624312148,1.7779,816.55,105.7,105.9,816.75
16,0.6776196599166127,0.6899575444677899,0.6652185323868919,80.2,-0.3961494556860998,1.8188,816.79,106.7,106.9,816.99
17,0.6781184392985655,0.6904653948393417,0.663216111565815,78.9,-0.1592257752781734,1.8245,800.88,104.55,104.74,801.07
18,0.6791117813380371,0.6915941211554449,0.6685612068500328,79.04,-0.08978794084396213,1.7477,805.66,104.95,105.14,805.85
19,0.6790252801743586,0.689143251307895,0.6699645084259869,78.86,-0.08165690896566957,1.7991,793.14,104.5,104.69,793.33
20,0.6774432227108315,0.6903320972786791,0.667323106115402,78.06,-0.15698936092667282,1.7715,814.39,106.28,106.46,814.57
