Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6233173272873842,0.6409951301100195,0.6086654925962707,97.82,0.3066358346492052,1.8331,513.57,49.4,50.07,514.24
2,0.6267294156086659,0.6387436416900324,0.6166888114892142,96.74,-0.39318007779748815,1.8613,514.14,50.02,50.69,514.81
3,0.6305138113675144,0.6502748186213412,0.6166079532715986,94.9,0.04559779688715935,1.8591,509.55,50.86,51.52,510.21
4,0.640958933055527,0.6552380843233915,0.6238662761447279,89.5,-0.22488203487898173,1.7792,472.27,50.84,51.49,472.92
5,0.6518736375596013,0.6637962952275567,0.6382522775069864,84.14,-0.243993861710324,1.8148,445.31,51.54,52.15,445.92
6,0.6578684900185291,0.6715646148666826,0.6451622948211893,83.84,-0.14575062604511485,1.8648,433.68,51.81,52.43,434.3
7,0.6661158437289447,0.6784684055902996,0.6505111731941677,78.76,0.2562996414490044,1.8269,407.73,52.09,52.68,408.32
8,0.6683876238968312,0.6809375920487579,0.6542740443949816,77.04,-0.11133613833226264,1.8826,396.11,51.68,52.26,396.69
9,0.6681842441231435,0.6807945370591664,0.6510087424253251,77.24,-0.21661171480081975,1.8709,409.41,52.9,53.49,410.0
10,0.671315205284009,0.6823867735400276,0.6579000934248662,76.96,-0.311215297318995,1.825,396.49,52.19,52.78,397.08
11,0.6700679203001582,0.6824116447181826,0.6578254471106957,76.84,-0.017234936356544495,1.8217,399.58,52.69,53.27,400.17
12,0.670534515591281,0.6834067782514199,0.6555988159024,75.38,-0.1548566351334254,1.9465,400.35,52.3,52.87,400.93
13,0.6710052169559,0.6812174742362254,0.6580991148968149,75.26,-0.13696708033482233,1.8026,395.0,52.11,52.69,395.58
14,0.6723354724971241,0.6837861844617975,0.6599525646947463,75.12,0.2877043997248014,1.8697,396.04,53.15,53.72,396.61
15,0.6702379648846197,0.6817026090883322,0.658204844054584,75.08,-0.004807102183500926,1.8366,394.22,52.0,52.58,394.79
16,0.6719075608041704,0.681721264626196,0.6609290501393443,75.54,-0.054432619363069534,1.7363,393.25,51.74,52.32,393.82
17,0.6701578551671941,0.6824427405762385,0.6599712280355012,74.28,0.06426122039556503,1.9109,392.37,52.13,52.7,392.94
18,0.671833546896622,0.6832450766657039,0.6643000792048317,74.74,-0.04411722222963969,1.8457,390.31,51.8,52.37,390.88
19,0.6716987057899216,0.68360581626781,0.661463927561295,74.86,0.2101477046807607,1.7888,390.7,51.64,52.21,391.27
20,0.6723839857656867,0.6835498525235828,0.6577383792784532,74.32,-0.01755379606038332,1.7348,387.82,51.71,52.28,388.39
