Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.5790819537837557,0.5992757871202473,0.5665715889626033,40.4,-0.23091398901306093,115.37,22.53,22.69,115.53
2,0.5794358326232389,0.593708378767205,0.5641146033628469,42.3,-0.1078108019195497,125.43,21.94,22.14,125.63
3,0.575537216310654,0.5842008016556746,0.5577335917885783,47.1,-0.17659815158694983,136.88,22.12,22.4,137.16
4,0.5692975138445237,0.5870951915851599,0.5563782018977169,46.1,-0.06244951314292848,137.13,22.99,23.25,137.39
5,0.5799882559447578,0.6064325937390809,0.5678135914280891,44.9,0.01516304633114487,131.97,21.0,21.24,132.21
6,0.5772094150025945,0.5873652074724197,0.5687459988090996,42.6,0.022847901098430157,135.76,23.73,23.93,135.96
7,0.5853171604566626,0.604639792939568,0.5716746047082433,39.2,-0.10033476520329714,130.05,23.28,23.41,130.18
8,0.5884835358515459,0.6038171874331004,0.5722541950677401,36.8,0.004428549762815237,117.26,22.52,22.6,117.34
9,0.5810223532842216,0.5958791801074511,0.5654537864765177,37.6,-0.06392447492107749,118.36,22.95,23.05,118.46
10,0.5787692944298034,0.5910389980108742,0.5619527863542088,37.0,-0.11192340715788304,115.39,21.63,21.71,115.47
