Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss
1,0.5814310469670658,0.599392808047915,0.5626710033473973,38.75,0.38586026467382906
2,0.5781042880563216,0.5960880058386331,0.5564448001429082,41.3,0.04792056437581778
3,0.5781482962766653,0.590799590237189,0.5634018002974038,40.3,-0.03770489897578955
4,0.5795066688920121,0.5944158061295992,0.561508201743222,39.95,0.029909907653927804
5,0.5847546571977789,0.6020208067862037,0.5708159833724507,40.2,-0.1594120215624571
6,0.5798059158854706,0.6008399868614684,0.5576453949763301,38.75,0.07851502820849418
7,0.5820344958971864,0.6120216038327699,0.5675849811773305,40.05,0.05902035944163799
8,0.5768878483263021,0.5947181929563052,0.5634018053699977,40.2,-0.13513584136962892
9,0.5826481167825085,0.6051059800443656,0.5709654096083172,39.85,0.10493171513080597
10,0.5789277872925358,0.5985629928288464,0.5470667925147061,40.6,-0.002609236165881157
11,0.5810167746999769,0.597749391725493,0.5656607966023931,39.85,0.027156007662415504
12,0.5804028845280367,0.5995044054176333,0.563939993414641,39.9,-0.2521662674844265
13,0.5821396169154387,0.602620219136811,0.5622785936553966,39.6,-0.16510940250009298
14,0.5809470277499704,0.5951484023663529,0.5579297826012619,40.25,-0.09820381999015808
15,0.5808680014515215,0.5967107741555221,0.5629770005407335,39.2,0.028514007106423378
16,0.5792012945105915,0.5943707809661868,0.5694192036486632,41.05,-0.04328460264950991
17,0.5780797199757319,0.5924286058733949,0.5599134018127446,39.05,-0.04971799161285162
18,0.5780879085837298,0.5944805929794793,0.5656950057678227,40.75,0.012535840272903442
19,0.5789340866314249,0.5931323979761128,0.5600555986829283,40.3,0.0981927540153265
20,0.5772370403356797,0.596480391068888,0.5623433779496679,39.95,-0.07837059795856476
