Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6788143580843076,0.7051313534786554,0.6462008250583339,196.0,-0.04217428814333219,1.7966,328.9,10.19,12.49,331.21
2,0.7020521019592745,0.7270754562291983,0.6805327203061292,195.92,0.3096363226883113,1.838,268.47,9.7,11.39,270.16
3,0.7168307471207832,0.7383129615390417,0.6955750570223448,195.34,0.6114156319759786,1.7652,229.96,9.35,10.73,231.33
4,0.7206143344550691,0.740348094162401,0.7002647178209312,195.28,-0.1466668893583119,1.7797,222.16,9.02,10.35,223.49
5,0.7325561737906406,0.7495504648236403,0.7102634485137966,192.78,-0.3736069808272939,1.8828,190.32,8.75,9.85,191.42
6,0.7392119610657596,0.7487541047920141,0.7151300805640536,189.54,-0.4883915620954021,1.7935,184.19,8.54,9.57,185.22
7,0.740548072677386,0.7565407216734926,0.7250403188591716,191.18,0.06932582282216142,1.9059,172.9,8.51,9.54,173.92
8,0.7420363778610788,0.7537977096761638,0.7249518320941363,187.58,-0.21950769233272263,1.8158,171.6,8.43,9.44,172.61
9,0.7395889028516849,0.7515855992507331,0.7199082269884752,190.4,-0.30467953454507024,1.8244,174.02,8.41,9.44,175.06
