Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.644863999999998,0.6570666666666648,0.6335999999999982,112.08,-0.2525343640666941,1.7939,147.71,11.33,12.26,148.64
2,0.6554026666666647,0.669866666666664,0.6463999999999981,104.84,0.24060746796783947,1.8286,129.17,11.09,12.01,130.09
3,0.6624426666666646,0.6805333333333312,0.6485333333333319,100.3,-0.352358840405941,1.7229,116.74,10.94,11.86,117.66
4,0.6715733333333315,0.6869333333333315,0.6549333333333315,95.48,-0.2637282155062023,1.8825,103.1,10.9,11.81,104.02
5,0.6720426666666645,0.6890666666666649,0.6613333333333313,97.66,-0.2592288548592478,1.841,101.85,10.73,11.65,102.77
