Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.5846824705453431,0.5947127914654268,0.5776064795840994,78.9,-0.09621118605136872,199.72,24.12,24.73,200.33
2,0.5890144450934895,0.600900292955662,0.578117690803028,83.5,-0.09050531350076199,219.5,23.93,24.56,220.13
3,0.5873920170245512,0.5979761948746212,0.5667794929865606,84.5,-0.03583058714866638,233.64,23.54,24.17,234.28
4,0.590599977771536,0.5999075976690541,0.575211591730644,79.1,-0.2780230721458793,207.74,23.76,24.37,208.35
5,0.5890935578888236,0.5961239931281814,0.5824529978821287,78.5,0.1686140038073063,205.03,23.39,23.99,205.64
6,0.5897984355016788,0.600441298546458,0.5801408903768787,80.4,-0.051022371649742125,207.09,23.97,24.58,207.71
7,0.5905141154213415,0.5963922002658615,0.5809788009379158,82.1,0.014152513444423675,220.22,23.42,24.04,220.84
8,0.5901967775146875,0.5984775065048943,0.576735286167527,80.8,-0.037887946143746375,219.84,24.76,25.38,220.46
9,0.5867161158175572,0.592768792360211,0.5779151970407732,84.1,-0.07517570070922375,229.67,23.63,24.27,230.3
10,0.5818943638570773,0.5896223967465889,0.5682401877453099,80.7,-0.020907638035714625,233.23,23.7,24.31,233.85
