Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6767900380290983,0.6933115597401822,0.661555068590545,164.4,0.24624687882468982,1.8034,240.0,12.14,13.06,240.92
2,0.6826576371946845,0.6927093734489624,0.6611831322979935,158.16,0.4383367586768035,1.7958,224.01,12.04,12.96,224.94
3,0.6897136694715905,0.6978722373673888,0.6782834605333624,149.12,-0.8204308203111093,1.8058,204.11,11.51,12.43,205.03
4,0.7097113989572692,0.7213840779639762,0.6983770044523788,128.72,-0.33224983499922717,1.7673,152.9,10.82,11.73,153.81
5,0.7098651338463633,0.7201354240105332,0.697500296324278,128.5,-0.14046814400129592,1.7843,163.61,10.68,11.59,164.51
6,0.7094818600974141,0.7184794129432422,0.6968538272052172,126.96,-0.02825525302726489,1.781,164.69,10.73,11.64,165.6
7,0.7116607127266034,0.7226238726408637,0.6979165114732027,123.96,-0.43346924014389515,1.8567,154.64,10.6,11.5,155.54
8,0.7115877422187289,0.7194446847571268,0.7011842597996736,124.02,-0.4310919643193483,1.8192,157.39,10.43,11.33,158.29
9,0.710642132361337,0.7207818924011761,0.701689032908374,123.1,-1.3454911164194345,1.7369,163.13,10.35,11.25,164.04
10,0.7046795996947588,0.7130863032636465,0.6965793048552757,134.32,0.06486881527650569,1.8121,209.01,10.42,11.33,209.92
11,0.7052392793383575,0.7159909670429012,0.6951004056537243,134.18,-0.429879530648967,1.6895,206.15,10.4,11.31,207.07
12,0.7082376365909847,0.7178772288372801,0.6981910403599157,129.54,0.20088279712945223,1.7657,187.8,10.46,11.37,188.7
13,0.7079802902937884,0.7211538341727058,0.6944539372630826,128.86,-0.02682799043563696,1.8296,184.65,10.4,11.3,185.56
14,0.7052213902947133,0.7148840074276227,0.6938606087092365,135.04,-0.24196566648229403,1.8449,200.6,10.42,11.33,201.51
15,0.7090259699100241,0.7202328414622234,0.7014587869318468,129.7,-0.029256205575970504,1.8489,182.32,10.23,11.14,183.23
