Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.582330057566958,0.5956686058669569,0.5662206094589715,40.1,-0.15271639563143252,108.82,21.46,21.61,108.97
2,0.5826477576068692,0.5962589995493895,0.5630471979516511,39.0,-0.26601233035326005,118.91,21.46,21.58,119.04
3,0.5832475151480776,0.5994288000012877,0.5615711900144581,38.3,-0.07085253829136491,121.02,21.1,21.22,121.14
4,0.5869943927953726,0.6038099899320607,0.569771990756035,38.8,0.006038614403223619,118.7,20.84,20.97,118.83
5,0.583033135191079,0.6139997987202653,0.5701247905706414,36.2,-0.04848155379295349,114.83,22.5,22.56,114.9
6,0.5845076988850598,0.6000083796877391,0.5673185923614982,38.7,-0.20402647480368613,122.82,22.64,22.76,122.94
7,0.5852431769816784,0.6028452076333526,0.5729076040709501,39.2,0.02573943864554167,121.91,20.65,20.78,122.05
8,0.5872953564243371,0.6023987907959465,0.5708897886587625,37.8,-0.007549297716468573,111.16,19.92,20.02,111.26
9,0.5859187133668762,0.6039683917448049,0.5707908105584628,38.9,-0.12984893042594195,115.52,21.86,21.98,115.65
10,0.5916299350005347,0.6058313948540213,0.5847281993034849,38.1,-0.04536992680514231,113.68,20.35,20.45,113.79
