Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6244744317981434,0.6407936951825028,0.6087014823857562,99.26,-0.40016646655276417,1.8351,205.72,17.67,18.55,206.59
2,0.64654810536891,0.6630194096710593,0.6281538733283127,90.7,0.17033682469474642,1.8002,174.83,17.71,18.58,175.7
3,0.6491910474769514,0.6622950817026825,0.6322192403818284,86.9,-0.001373310469918781,1.7464,170.88,17.7,18.56,171.74
4,0.6544771920665251,0.666928161550921,0.6426860755864721,84.04,-0.15352760781260097,1.8551,155.49,17.17,18.03,156.34
5,0.662017361051989,0.6701125861485095,0.64959001130198,79.86,0.008400023969657281,1.8024,146.91,17.33,18.18,147.76
6,0.6617652170374774,0.6731077702128572,0.6529636740314461,79.42,-0.0717781987041235,1.8636,149.24,17.11,17.95,150.09
7,0.6611505187232517,0.6712153908380439,0.6432211650799198,77.48,-0.01278335158713162,1.9091,149.06,17.19,18.04,149.91
8,0.6603946090413296,0.6706803002010899,0.6512605310732509,77.82,-0.2670107795856893,1.8215,147.76,17.21,18.06,148.6
9,0.6639513758689775,0.6743998120051132,0.6529310497010148,76.38,-0.11739788192790002,1.8078,144.26,16.81,17.66,145.1
10,0.6624287249264594,0.6740213361987611,0.6525851970815875,74.68,0.06890123075572774,1.8342,148.52,16.87,17.71,149.36
11,0.6632678990204853,0.6755352419398845,0.652395959292762,75.78,-0.03296089032664895,1.7603,148.76,16.76,17.6,149.6
12,0.663032199137231,0.6751567643039217,0.6546341930022621,74.18,-0.18133842292396973,1.7527,147.35,16.69,17.53,148.18
13,0.6619608497960945,0.6734536246618952,0.6482653478093577,75.74,0.13129733398091048,1.8082,147.78,16.99,17.83,148.62
14,0.6613662497933646,0.6727292932629985,0.6503469650873468,76.54,0.085477803950198,1.7829,148.67,16.96,17.81,149.51
15,0.6636915323437026,0.6745890519666009,0.6534987638679457,77.76,0.13244848389877006,1.729,152.42,16.81,17.65,153.27
16,0.6618948112829445,0.6714046271403115,0.6481087321783012,73.38,0.04795086793601513,1.8369,145.38,16.86,17.7,146.22
17,0.6632427106232215,0.67439981314862,0.6509146791399272,74.18,-0.11963713864485423,1.8254,144.36,16.83,17.67,145.2
18,0.6631202934125546,0.6775842351161436,0.651071293055724,74.78,0.03351295068860054,1.8495,141.07,16.86,17.7,141.91
