Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6763651132092378,0.7099979855289122,0.636202093004757,196.0,-0.18625653000214162,1.8517,328.78,10.24,12.7,331.23
2,0.7265091587968966,0.744595343983103,0.6905314476130386,194.26,0.26152483392506837,1.788,196.79,9.03,10.26,198.03
3,0.7316147013755396,0.7523819610860929,0.6953980826062294,194.1,-1.1827203223481775,1.7988,190.76,8.9,10.02,191.88
4,0.5609833669090356,0.6162931253774848,0.48303578434910716,196.0,nan,nan,571.07,12.63,18.44,576.89
5,0.5676869366220986,0.6213367334260796,0.4680819348409491,196.0,nan,nan,558.94,12.35,18.05,564.64
