Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6253087080326906,0.6359317082902611,0.6126981445558255,88.8,1.137168025118964,1.737,859.79,90.95,91.32,860.16
2,0.6246975315356177,0.6385517516913619,0.6120997739274948,87.15,-0.5642159972872053,1.8211,848.5,90.73,91.08,848.85
3,0.6638448660216029,0.6718509580544473,0.6569915080368901,78.85,0.08746917141335352,1.7455,762.78,98.6,98.89,763.07
4,0.6626505960505027,0.6731822946099123,0.649601900296837,77.4,0.3230474895664624,1.709,763.83,99.28,99.56,764.11
5,0.665088194964833,0.676400734297316,0.6512650279455982,77.95,-0.43968194292059964,1.7683,766.6,97.87,98.15,766.89
6,0.666341095481093,0.6753075746683019,0.6557220215073787,79.1,-0.29447948898055726,1.7487,782.52,98.66,98.95,782.82
7,0.6679034684118783,0.6852177786969682,0.6588685743801527,79.0,-0.46840853946549554,1.7211,791.45,100.2,100.49,791.74
8,0.6673532179733935,0.6750969696776417,0.6547993677855803,75.7,nan,nan,784.08,95.74,96.0,784.34
9,0.6667926066047198,0.6769105362574107,0.6538014859620332,74.15,-0.09291200712323189,1.8021,800.1,97.61,97.86,800.35
10,0.6631657453510941,0.6730878448536372,0.6488238336315015,73.8,0.16041583977639676,1.7782,889.66,95.13,95.37,889.9
11,0.6668253216420512,0.6751329146594762,0.6553225330960682,73.7,0.13614029267004557,1.7016,855.77,94.72,94.96,856.01
12,0.6649630866828812,0.6721476508977235,0.6589287396166784,73.7,-0.3888896890295049,1.819,846.04,93.88,94.12,846.28
13,0.6668623453155348,0.6790257774678152,0.6530309384424979,74.0,-0.016116080060601234,1.8877,801.47,96.29,96.53,801.71
14,0.6688743480150742,0.6803086514813846,0.6555732579850331,74.3,-0.408126050978899,1.8822,768.19,96.42,96.67,768.44
15,0.6648261093777351,0.6750025353204537,0.654840326659668,74.15,-0.04454241370161374,1.7374,790.3,94.07,94.32,790.54
16,0.6675588089635451,0.6771604134162883,0.6602600928402906,73.2,0.21592923911909262,1.9122,803.76,95.02,95.26,804.0
17,0.6678072326180289,0.6752708084757353,0.6539510878038127,74.45,-0.5458103463053703,1.7027,778.29,95.85,96.1,778.54
18,0.669394555837067,0.6895109788787032,0.6606712772321073,71.5,0.15877289601734706,1.6695,750.63,96.54,96.76,750.84
19,0.6694870300628477,0.6821213583834884,0.6605668114243061,74.3,0.5346648188928763,1.7,733.65,97.65,97.89,733.89
20,0.67195471667491,0.6857442797855509,0.661513700282216,74.3,0.000646847060748509,1.6733,737.67,96.72,96.97,737.92
