Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6746839116756995,0.7002647214283984,0.6361136087396333,196.0,-0.1826650815514418,1.9006,340.79,10.28,12.8,343.31
2,0.6924320900063666,0.7199967126143105,0.6510674555263684,196.0,0.768528109941727,1.8548,300.37,9.85,11.84,302.37
3,0.6875849200287726,0.710174961305739,0.6561110644926522,196.0,-0.7821166628064253,1.7629,310.98,9.83,11.97,313.12
4,0.7277532482069204,0.7446838309696497,0.7102634433241068,195.0,-0.8280068112537264,1.7107,190.41,9.04,10.21,191.57
5,0.7406312484492408,0.7522049882522001,0.7298184657266156,188.62,-0.19581115088964762,1.8426,174.82,8.44,9.46,175.84
6,0.7403162441407278,0.7537092206643724,0.7250403206629052,189.44,-0.15355403486051059,1.7962,175.57,8.5,9.51,176.58
7,0.7414541515870634,0.7522934736565241,0.7298184652835934,190.38,0.3793979518997826,1.7892,175.68,8.48,9.49,176.69
8,0.7424858784215614,0.755213461873702,0.7297299798792694,188.34,-0.04665571432560682,1.7658,174.86,8.46,9.45,175.84
9,0.7410754389500539,0.7508777246234309,0.7299069540738735,190.4,0.2197002064632742,1.8099,175.2,8.43,9.45,176.22
10,0.740277311572283,0.7522934750172354,0.7291105940422473,190.08,-0.20016190433540407,1.7779,178.8,8.51,9.54,179.83
11,0.7425938289623636,0.7529128626579911,0.7320305788734691,188.1,-0.08036230534717843,1.8637,175.15,8.3,9.28,176.13
12,0.7414134490295293,0.7522934752387466,0.7200851998223682,187.38,-0.3272955393124568,1.7837,174.4,8.4,9.4,175.41
13,0.7419797482927791,0.7509662138567333,0.729906952491651,189.16,-0.025753757136093604,1.8562,177.65,8.42,9.42,178.65
14,0.7410081909977971,0.754417096652386,0.7298184655051044,189.18,0.005000015243123739,1.7749,176.98,8.45,9.44,177.97
15,0.7405799273590209,0.7515855992507331,0.7248633444430562,188.42,-0.02845155457524877,1.8575,181.23,8.44,9.45,182.24
16,0.7419939059884824,0.7530013498660487,0.729818467087327,188.48,0.10600600323002589,1.8488,177.58,8.39,9.39,178.58
17,0.7418912639067734,0.7621152299332742,0.7247748603994435,188.06,-0.04888780816243245,1.8429,175.88,8.41,9.42,176.89
18,0.7406365568469436,0.7522934736565241,0.7248633446645674,189.78,-0.14738207109845602,1.8327,179.47,8.39,9.41,180.49
