Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6313599696295608,0.6421333009629028,0.6207999694824224,111.7,0.08062811408724103,142.42,10.73,11.66,143.35
2,0.6244266363834206,0.6399999685015003,0.6101333033607124,111.25,0.0371989464530578,147.92,10.64,11.56,148.84
3,0.631573302990142,0.6421333024887818,0.6207999717712407,107.95,-0.1775671369754351,142.81,10.48,11.41,143.74
4,0.6317866362362823,0.6378666360400981,0.6229333034697041,102.1,-0.8094591399033865,142.68,10.25,11.17,143.6
5,0.6517333019601739,0.6613333022707992,0.6399999685015003,102.35,-0.19008441579838595,114.5,10.28,11.2,115.43
6,0.6563199682399212,0.6698666351681672,0.6463999681745264,100.3,-0.10689002140001817,104.55,10.34,11.26,105.47
7,0.6557866353534525,0.6677333011808858,0.6442666357131238,96.9,0.09718949906527996,102.07,10.28,11.2,102.99
8,0.6618666353480029,0.6741333008539119,0.6506666369120286,98.35,-0.12297917292876677,99.73,10.46,11.38,100.65
9,0.6567466348084957,0.6698666359311066,0.644266634187245,101.9,-0.12428410599629085,98.69,10.29,11.21,99.61
10,0.6595199682671692,0.6634666354951412,0.6549333018348338,101.1,-0.19119574315845966,97.71,10.14,11.06,98.63
11,0.6588799681472786,0.6698666344052279,0.6506666346232105,101.85,0.09602995899816354,97.91,10.27,11.19,98.83
12,0.660586635184516,0.6741333008539117,0.6399999700273793,98.1,-0.029248352416537025,97.85,10.35,11.27,98.77
13,0.6599466349883313,0.6677333011808858,0.6485333021618078,103.4,0.024870674746731918,100.66,10.41,11.33,101.59
14,0.6593066350591757,0.6677333019438252,0.6485333013988683,102.4,0.009169663613041243,101.43,10.38,11.3,102.35
15,0.6585599683925092,0.6677333011808856,0.6506666361490894,100.65,-0.09060389424363773,98.13,10.26,11.18,99.05
16,0.6596266350428273,0.6677332996550069,0.6527999670846131,100.8,-0.15666662958952096,100.15,9.98,10.9,101.07
17,0.6599466347975966,0.6719999676295698,0.6485333021618079,98.5,-0.07517035440965132,102.49,10.41,11.33,103.41
18,0.6583466351082221,0.6719999668666302,0.6485333036876866,98.45,-0.018904995173215866,103.21,10.19,11.11,104.13
19,0.659199967940195,0.6677333004179463,0.6527999686104918,100.25,-0.0016298027088244755,105.73,10.37,11.29,106.65
20,0.6578133017639896,0.6655999679565436,0.6463999674115871,99.6,-0.04626818949526006,102.19,10.31,11.23,103.11
