Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6306133032299228,0.6421333040146606,0.6186666377839593,111.7,-0.6308853626251221,143.1,10.86,11.78,144.03
2,0.6564266350918733,0.6677333011808858,0.6485333013988683,105.6,-0.1838263416519532,116.49,10.6,11.52,117.42
3,0.655039968496051,0.6634666339692622,0.6463999697004054,98.65,-0.4596685645593838,122.6,9.8,10.72,123.52
4,0.6451199690410075,0.6591999675205784,0.6271999691554485,99.95,0.07366675479958455,158.25,9.67,10.59,159.17
5,0.6471466355659856,0.6634666354951411,0.6357333020528165,100.2,0.03426629186918338,159.2,9.72,10.64,160.12
6,0.6444799687303824,0.6549333033607125,0.6335999688284745,102.45,-0.02195190992206335,160.27,9.61,10.54,161.19
7,0.6487466354079481,0.6613333007449204,0.6378666368030372,100.25,-0.04678270556032658,155.43,9.7,10.62,156.35
8,0.6501333021182113,0.6591999698093968,0.6399999685015004,96.0,0.06904532692649147,141.84,9.87,10.78,142.76
9,0.6511999686922353,0.6634666347322017,0.6421333024887821,97.9,0.039829265004531905,144.94,9.57,10.48,145.86
10,0.6509866351409193,0.6613333015078597,0.6357333020528164,99.2,-0.19201481108768628,142.6,9.63,10.55,143.52
11,0.6554666348738907,0.665599968719483,0.648533300635929,96.75,-0.2757223151313762,110.17,10.16,11.07,111.08
12,0.6612266348466427,0.6719999668666303,0.6506666353861498,96.3,-0.20034235200534264,106.05,10.31,11.23,106.97
13,0.6565333018293842,0.6634666347322018,0.6485333013988686,100.75,-0.2400121829782923,125.82,10.47,11.39,126.74
14,0.6532266351027723,0.6677333004179463,0.6442666357131238,104.8,-0.6594863388400811,128.87,10.69,11.62,129.79
15,0.6503466351736165,0.6613333015078596,0.6378666352771583,113.95,-0.03305078207382134,159.58,10.66,11.59,160.51
16,0.6497066352444609,0.6634666362580806,0.6399999700273792,108.4,0.025601022224873305,139.23,10.61,11.53,140.16
17,0.6526933019111276,0.6613333007449204,0.6399999700273791,104.2,0.03979026564241697,138.18,10.45,11.37,139.1
18,0.6520533019056781,0.6613333007449204,0.6399999700273791,102.85,-0.01600226218967388,132.62,10.03,10.95,133.55
19,0.6566399684143074,0.6677333011808857,0.6485333013988683,102.9,-0.16725857459629576,128.31,10.42,11.34,129.23
20,0.6540799685069499,0.6655999679565436,0.6314666363670718,105.9,-0.6256266463858385,132.08,10.11,11.03,133.01
