Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.608807335280557,0.625874396978331,0.5939423883265977,44.3,-0.4331703644245863,449.69,79.09,78.83,449.42
2,0.6447135544641789,0.6693192004235751,0.620042408810092,36.4,-0.14353496357798576,399.63,78.71,78.17,399.09
3,0.6502510808562907,0.6613092212611201,0.6374448142985352,34.2,0.00819555837661028,386.28,78.83,78.19,385.64
4,0.6639670837917002,0.6771042121587758,0.6510834013428215,34.4,-0.13584145326167346,374.03,81.82,81.19,373.41
5,0.6582151766881378,0.6765785845401773,0.6475788055438049,34.9,-0.014736390672624111,386.29,83.15,82.55,385.68
6,0.6595920004358062,0.6886062142444619,0.646090196812249,34.3,-0.046846013888716696,374.3,79.77,79.14,373.67
7,0.6666316150013073,0.6789563934506904,0.660925796988631,34.1,-0.3155704133212566,369.47,80.93,80.29,368.82
8,0.6550408820716533,0.6794801970504294,0.6332021995223531,32.4,-0.15182743608020247,343.87,75.02,74.3,343.15
9,0.6604189216059788,0.6770862151456837,0.6410880125269897,30.7,-0.13157448647543787,330.34,76.26,75.43,329.52
10,0.6582324585949955,0.6657731997798448,0.6466247993639953,33.6,-0.13173119621351362,350.39,74.64,73.97,349.73
