Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6217132630890517,0.6368802588858931,0.6048079256017646,95.56,-0.20444511269268237,1.8443,270.03,24.81,25.65,270.86
2,0.6304992230767056,0.6449769079697363,0.6191893331076433,91.7,-0.2512877669773604,1.7733,254.05,24.73,25.56,254.87
3,0.6350725242081517,0.6480657961485268,0.6197776937326595,88.74,0.22355259292655522,1.8678,246.11,25.02,25.84,246.93
4,0.6433432682306119,0.6575664849067222,0.6294856392608904,86.56,-0.1996383306880792,1.7904,233.97,24.72,25.54,234.79
5,0.6555223321715556,0.6686985327821844,0.6380436085865538,80.08,-0.10168192908167839,1.7935,209.58,24.82,25.62,210.38
6,0.6625124548235748,0.6752841571790329,0.651208174938716,76.02,0.022378922905772924,1.7895,199.61,24.51,25.3,200.4
7,0.6642798104516054,0.6809872435889373,0.6484067818261751,74.86,0.23656150028109552,1.8252,198.43,24.43,25.21,199.21
8,0.6627531492927161,0.6815689136906032,0.6494698383813234,76.62,-0.04061336349695921,1.8849,197.63,24.68,25.47,198.42
9,0.6621379105653952,0.6798840670607633,0.6529732619976031,75.86,-0.35324194887652993,1.8059,195.04,24.58,25.36,195.83
10,0.6639398986554039,0.677289933738179,0.6528796503491527,73.56,0.05991735284527143,1.8413,191.01,24.67,25.45,191.8
11,0.6633947285638143,0.679195412324243,0.6497305857842779,74.32,0.12508799345232546,1.8229,192.51,24.64,25.43,193.3
12,0.6634812442353037,0.6741074352547195,0.6477983593125504,72.82,-0.1969577819108963,1.8375,191.88,24.6,25.38,192.66
13,0.6656481494673969,0.681054105847741,0.6552464737213681,73.12,0.09130850483973821,1.8425,190.59,24.51,25.29,191.37
14,0.6652161061014726,0.6809671817003285,0.6523447791113085,74.26,-0.008105141979952653,1.8499,191.21,24.37,25.16,191.99
15,0.6641424812892938,0.6727167671177834,0.6546781688351296,75.28,-0.10448956340551377,1.8193,192.77,24.38,25.16,193.56
16,0.6643932022000203,0.6775573675422791,0.6523113466393202,73.44,-0.30790435522794724,1.7763,192.58,24.29,25.07,193.36
17,0.6655645744126316,0.6795698284845083,0.6546647958391615,71.82,-0.14711156139771145,1.8749,191.49,24.01,24.78,192.27
18,0.6654477048646976,0.6789614051507469,0.6528595918486898,71.78,0.05394711556533972,1.7952,191.23,24.33,25.11,192.01
19,0.6656410611055152,0.6764408235104242,0.6517631051576284,72.74,-0.039072711517413455,1.8158,187.38,23.93,24.71,188.16
20,0.6655625688121173,0.6776242319913032,0.6518500295752322,72.98,-0.22367095251878102,1.8402,192.32,24.05,24.83,193.1
