Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6788143580843076,0.7051313534786554,0.6462008250583339,196.0,-0.04217428814333219,1.7966,328.9,10.19,12.49,331.21
2,0.7020521019592745,0.7270754562291983,0.6805327203061292,195.92,0.3096363226883113,1.838,268.47,9.7,11.39,270.16
3,0.7168307471207832,0.7383129615390417,0.6955750570223448,195.34,0.6114156319759786,1.7652,229.96,9.35,10.73,231.33
4,0.7206143344550691,0.740348094162401,0.7002647178209312,195.28,-0.1466668893583119,1.7797,222.16,9.02,10.35,223.49
5,0.7325561737906406,0.7495504648236403,0.7102634485137966,192.78,-0.3736069808272939,1.8828,190.32,8.75,9.85,191.42
6,0.7392119610657596,0.7487541047920141,0.7151300805640536,189.54,-0.4883915620954021,1.7935,184.19,8.54,9.57,185.22
7,0.740548072677386,0.7565407216734926,0.7250403188591716,191.18,0.06932582282216142,1.9059,172.9,8.51,9.54,173.92
8,0.7420363778610788,0.7537977096761638,0.7249518320941363,187.58,-0.21950769233272263,1.8158,171.6,8.43,9.44,172.61
9,0.7395889028516849,0.7515855992507331,0.7199082269884752,190.4,-0.30467953454507024,1.8244,174.02,8.41,9.44,175.06
10,0.7410453546233181,0.751674084655057,0.7200852014045908,188.8,-0.1335524230411178,1.8957,177.47,8.61,9.62,178.48
11,0.7377519697349206,0.7475153254283686,0.7100864689079915,191.24,0.025677964497262087,1.8717,188.49,8.65,9.7,189.55
12,0.7381855430352792,0.7509662152174448,0.719908228792209,188.5,-0.04449362770931141,1.8879,194.55,8.63,9.66,195.59
13,0.7411108328725515,0.7516740864587907,0.7199967141965329,191.56,-0.03818475426389621,1.8374,185.51,8.55,9.57,186.53
14,0.741670053247761,0.7530013498660487,0.7298184650620821,188.16,0.14977764277844816,1.8944,176.16,8.5,9.48,177.14
15,0.7391553302734526,0.7530013498660487,0.7199082267669641,189.88,-0.05146852532695783,1.8942,181.92,8.52,9.56,182.95
16,0.7416948287451638,0.7536207350385373,0.7199082251847417,188.08,-0.04134718671038344,1.8791,176.02,8.34,9.34,177.02
17,0.7396048300649751,0.7494619776155825,0.7248633460252788,190.4,-16.773740081312624,1.8286,188.77,8.44,9.48,189.81
18,0.4468262412907342,0.5324100217243187,0.3692449807935807,196.0,nan,nan,712.22,17.63,24.63,719.22
19,0.44713593634904286,0.5127665091708183,0.36924497898984715,196.0,nan,nan,713.84,17.57,24.65,720.92
20,0.45422529733589834,0.5373651425648557,0.3742885854562194,196.0,nan,nan,710.28,17.22,24.19,717.25
21,0.4505585080544023,0.5570086512893776,0.3347361061614916,196.0,nan,nan,704.21,17.46,24.32,711.08
