Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6792355438862724,0.7003532036682776,0.6460238490599961,196.0,-0.32234899948040646,1.8713,324.95,10.28,12.58,327.24
2,0.6921684074975423,0.7151300805640536,0.6658443337828557,196.0,-0.004767080912223229,1.8164,283.65,9.9,11.86,285.61
3,0.7011743378131783,0.7276948472559102,0.6756660866736497,195.8,-0.22315840274095536,1.8009,260.06,9.86,11.58,261.78
4,0.7185650392684573,0.7369856999355172,0.690708422029154,195.56,-0.3831922262907028,1.8103,215.81,9.23,10.61,217.19
5,0.7374935966876852,0.7529128622149688,0.7249518332333366,193.08,0.28653116256762773,1.8011,174.83,8.69,9.74,175.89
6,0.7365538936332143,0.7487541014060579,0.7053083229265921,190.62,-0.3872379063604734,1.8183,176.41,8.71,9.79,177.49
7,0.7378121401009898,0.7482232000556709,0.7198197400019287,191.3,-0.09235504116767491,1.822,173.37,8.65,9.7,174.42
8,0.7408719255706336,0.7501698522428847,0.7248633446645674,189.1,-0.41933771127309555,1.735,173.8,8.55,9.58,174.82
9,0.7408383011049656,0.7571601072890035,0.724951831651114,190.32,0.08882177893358928,1.8486,172.41,8.5,9.51,173.42
10,0.7408772346543883,0.7543286080836169,0.7298184668658159,189.96,-0.13274420670380718,1.8197,174.02,8.48,9.5,175.04
11,0.7399587674235615,0.7502583392294313,0.724951831651114,189.9,-0.2538679073515691,1.7913,177.65,8.51,9.51,178.65
12,0.7410435847665028,0.7495504650451513,0.7265445598469898,189.5,-0.6263884666718935,1.721,176.96,8.46,9.45,177.96
13,0.7380829014643114,0.751585599029222,0.7150415901915508,191.72,-0.26484668999910355,1.8849,190.45,8.48,9.54,191.5
14,0.7229379320559279,0.7397287121543573,0.7050428628846416,194.66,nan,nan,281.61,8.88,10.29,283.02
15,0.7243926131922923,0.741675357569659,0.7052198373007569,194.78,-0.04770787563174963,1.7273,279.88,8.96,10.35,281.27
16,0.6922639675761317,0.7199967141965329,0.655934090519559,196.0,nan,nan,399.38,9.21,11.61,401.79
17,0.6914021310015406,0.7248633480505235,0.665844331979122,196.0,nan,nan,398.55,9.42,11.8,400.93
18,0.6910995143331885,0.7249518350370702,0.6657558452140866,196.0,nan,nan,398.84,9.43,11.87,401.28
