Iteration,PhiMean,PhiMax,PhiMin,AvgSteps,Loss,AdvVar,AvgCandsBefore,AvgFiltered,AvgAdded,AvgCandsAfter
1,0.6940081856050313,0.7077829329833075,0.6657271605562188,177.9,-0.3933783918619156,1.8808,327.86,15.67,16.61,328.8
2,0.7023337950294168,0.7115736788945608,0.6895460359631111,159.66,0.5703176141250879,1.7582,277.36,15.43,16.33,278.26
3,0.7079566763941557,0.7223470256935466,0.6952441562340789,155.22,-0.03476799327519632,1.8332,263.06,14.73,15.63,263.96
4,0.7107345948400973,0.7237715563834372,0.6974629381842242,151.12,0.4021267395827078,1.8099,250.34,14.52,15.41,251.24
5,0.7149771779189473,0.722570004178767,0.7042575573390853,145.24,0.3788760692395013,1.8433,230.95,14.29,15.18,231.84
6,0.7166587095762087,0.7306158981601711,0.7033895655880382,141.46,-0.40949567620243343,1.7741,226.34,14.31,15.2,227.23
7,0.7212188161166188,0.7316184067417802,0.7098819315647382,136.52,-0.41517698488853594,1.8774,216.13,14.09,14.97,217.01
8,0.7243749655100661,0.7334907582927164,0.7150474496465576,129.84,-0.0023047428291577557,1.7997,199.24,13.87,14.75,200.12
9,0.7279085669768888,0.7392294147379026,0.719072257489617,131.16,0.395584557348719,1.8211,199.5,13.62,14.5,200.38
10,0.7276649052674112,0.7369903370585296,0.7128618480918967,127.84,-0.003305248343027555,1.8467,198.12,13.51,14.38,198.99
11,0.7265786894307894,0.733197735726857,0.7181010842987905,127.52,-0.1945836515380786,1.8249,202.29,13.57,14.44,203.17
12,0.7271964525852265,0.7361242040099997,0.7197743887442147,129.02,0.03805461511589014,1.7446,198.08,13.47,14.34,198.95
13,0.7269412176459342,0.7372907286448723,0.7194555663210137,128.44,-0.010481864357223878,1.7737,198.41,13.32,14.2,199.29
14,0.7270283479323524,0.738508850782637,0.716901393303686,127.06,-0.11736735830513331,1.7836,196.38,13.39,14.26,197.25
15,0.7273594354135018,0.7386138996033808,0.7171759743849817,126.78,-0.16354402613181335,1.7812,195.01,13.36,14.24,195.89
16,0.7274310129164937,0.735685595631949,0.716319050824697,126.96,0.16135183468461037,1.7401,196.4,13.17,14.04,197.27
17,0.7284922752653538,0.7362181878614459,0.7198683772538671,127.42,-0.1829199741522853,1.7506,195.67,13.29,14.17,196.55
18,0.7292691123495227,0.7372299155851496,0.7216541030387869,125.08,-0.24928618910220954,1.7829,193.43,13.32,14.19,194.3
19,0.7297933317190352,0.7415532501142736,0.7202627431933437,129.0,-0.02887343543653305,1.8722,201.92,12.99,13.87,202.8
20,0.728299514460178,0.7397011735507611,0.7198333663239103,125.32,-0.1350332659482956,1.8616,199.64,13.11,13.98,200.52
21,0.729501830563438,0.7433297723213607,0.7210164883085984,126.44,0.11777576582076457,1.7321,202.84,13.06,13.94,203.72
22,0.6695003140372836,0.6811926003510808,0.6584847228610955,71.34,nan,nan,397.94,50.39,50.94,398.49
23,0.6687742333897642,0.6813916271324654,0.655804068629319,71.02,nan,nan,400.85,50.08,50.63,401.4
24,0.6704816467753463,0.6822437116684107,0.6584349819083269,72.0,nan,nan,398.94,50.1,50.65,399.5
25,0.6703726772737952,0.6840225318567643,0.6564757862569309,71.12,nan,nan,396.64,49.93,50.48,397.19
26,0.6694434656717597,0.6810495358725693,0.6543175765739137,71.56,nan,nan,402.14,50.83,51.38,402.7
27,0.6710656699026436,0.6872069773059556,0.6593803568032801,72.56,nan,nan,404.83,49.93,50.49,405.38
28,0.6691765188677833,0.6787358435138683,0.6612400198592635,71.88,nan,nan,404.64,50.49,51.04,405.19
29,0.6702557488515885,0.681920296554641,0.6567743205901848,70.56,nan,nan,394.6,50.1,50.64,395.14
30,0.6707495880768312,0.6834503250085013,0.6556858910682033,72.56,nan,nan,394.88,49.73,50.29,395.44
31,0.6700476413783616,0.6789970632636525,0.6594114666433695,71.3,nan,nan,408.38,50.66,51.21,408.93
32,0.6703783985422814,0.6814973643444731,0.6538013529237218,72.08,nan,nan,404.16,50.5,51.05,404.71
33,0.6701984043031787,0.6855152494395339,0.6540065940997822,71.5,nan,nan,398.43,50.23,50.79,398.98
34,0.6709919033940871,0.6820073621247568,0.6578129950550273,71.94,nan,nan,402.73,49.79,50.34,403.28
35,0.6695159868166004,0.6777220447447617,0.660543412360368,71.8,nan,nan,404.49,50.27,50.82,405.04
36,0.671116047591616,0.6808629572476327,0.6600707279068175,72.32,nan,nan,403.69,49.94,50.49,404.25
37,0.6709691408490047,0.6809313746245669,0.6588765586927186,71.36,nan,nan,400.39,50.17,50.72,400.94
38,0.6697884076248645,0.6797869578918531,0.661606974478854,71.48,nan,nan,402.49,50.29,50.84,403.04
